H-1B Sponsorship Data- Healthcare & Public Health Administration FY'25 (Till 30-Sep-2025)  Prepared by : Srirams_chronicles,,,,,,,,,,,
This data is prepared based on the information in USCIS H1B Data website (Srirams_chronicles is not responsible for any unforeseen isssues with employers sponsoring H-1B),,,,,,,,,,,
Sl No,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
2630,2025,"SPED THERAPY SERVICES, INC.",520,62 - Health Care and Social Assistance,PLEASANTON,CA,94566,1,0,0,0
"2,631",2025,"SPG THERAPY AND EDUCATION, PC",122,62 - Health Care and Social Assistance,WALNUT CREEK,CA,94598,1,0,0,0
2632,2025,SPH NORTH HAVEN LLC DBA COMPLETE DENTAL,8144,62 - Health Care and Social Assistance,NORTH HAVEN,CT,6473,1,0,0,0
"2,633",2025,"SPORTSMED PT, LLC",3997,62 - Health Care and Social Assistance,GLEN ROCK,NJ,7452,1,0,0,0
2634,2025,SPRING CARE INC D B A SPRING HEALTH,2914,62 - Health Care and Social Assistance,NEW YORK,NY,10010,1,0,0,0
"2,635",2025,SQUARE HEALTH LLC,3763,62 - Health Care and Social Assistance,FONTANA,CA,92335,1,0,0,0
2636,2025,SSM CARDINAL GLENNON CHILDRENS HOSPITAL DBA SSM HEALTH CARDINAL GLENN,8490,62 - Health Care and Social Assistance,SAINT LOUIS,MO,63104,1,0,0,0
"2,637",2025,SSM CARDINAL GLENNON CHILDRENS HOSPITAL DBA SSM HEALTH CARDINAL GLENN,8490,62 - Health Care and Social Assistance,ST LOUIS,MO,63104,1,0,0,0
2638,2025,ST ANN CENTER FOR INTERGENERATIONA,7756,62 - Health Care and Social Assistance,MILWAUKEE,WI,53207,1,0,0,0
"2,639",2025,ST ANTHONYS REHABILITATION AND NURSING CENTER LLC,2851,62 - Health Care and Social Assistance,ROCK ISLAND,IL,61201,1,0,0,0
2640,2025,ST BERNARDS PHYSICIAN CLINICS INC,9061,62 - Health Care and Social Assistance,JONESBORO,AR,72401,1,0,2,0
"2,641",2025,ST DAVIDS CENTER D B A ST DAVIDS C,9208,62 - Health Care and Social Assistance,MINNETONKA,MN,55305,1,0,0,0
2642,2025,ST FRANCIS MEDICAL CENTER D B A CHI ST FRANCIS HEALTH,5598,62 - Health Care and Social Assistance,BRECKENRIDGE,MN,56520,1,0,0,0
"2,643",2025,ST JOHN PHYSICIANS INC D B A ASCENSION MEDICAL GROUP ST JOHN,1032,62 - Health Care and Social Assistance,TULSA,OK,74104,1,0,3,0
2644,2025,ST JOHNS WELL CHILD AND FAMILY CENTER,7758,62 - Health Care and Social Assistance,LOS ANGELES,CA,90037,1,0,3,0
"2,645",2025,ST JOSEPH HOSPITAL,2435,62 - Health Care and Social Assistance,BANGOR,ME,4401,1,0,1,0
2646,2025,ST JOSEPH PHYSICIAN ASSOCIATES D B A CHI ST JOSEPH HEALTH MEDICAL GRO,9302,62 - Health Care and Social Assistance,BRYAN,TX,77802,1,0,1,0
"2,647",2025,ST JOSEPHS HEALTH SERVICES INC,9538,62 - Health Care and Social Assistance,HILLSBORO,WI,54634,1,0,0,0
2648,2025,ST LUKES UROLOGY LLC,7632,62 - Health Care and Social Assistance,CHESTERFIELD,MO,63017,1,0,0,0
"2,649",2025,ST MARY MEDICAL CENTER,7327,62 - Health Care and Social Assistance,HOBART,IN,46342,1,0,4,0
2650,2025,ST MARYS GENERAL MEDICAL GROUP PC,747,62 - Health Care and Social Assistance,PASSAIC,NJ,7055,1,0,0,0
"2,651",2025,ST MARYS HOSPITAL - KANKAKEE LLC DBA ST MARYS HOSPITAL,5090,62 - Health Care and Social Assistance,KANKAKEE,IL,60901,1,0,0,0
2652,2025,ST MARYS MEDICAL GROUP INC,8563,62 - Health Care and Social Assistance,WATKINSVILLE,GA,30677,1,0,0,0
"2,653",2025,ST MARYS REGIONAL MEDICAL CENTER,1551,62 - Health Care and Social Assistance,LEWISTON,ME,4240,1,0,0,0
2654,2025,ST PETERS HEALTH,3121,62 - Health Care and Social Assistance,HELENA,MT,59601,1,0,0,0
"2,655",2025,ST VINCENT INFIRMARY MEDICAL CENTER,6917,62 - Health Care and Social Assistance,HOT SPRINGS,AR,71913,1,0,0,0
2656,2025,ST VINCENT INFIRMARY MEDICAL CENTER,6917,62 - Health Care and Social Assistance,LITTLE ROCK,AR,72205,1,0,4,1
"2,657",2025,STANLEY PARK PHYSICAL THERAPY PC,5338,62 - Health Care and Social Assistance,WILLISTON PARK,NY,11596,1,0,0,0
2658,2025,STATE OF ARIZONA DEPARTMENT OF ENVIRONMENTAL QUALITY,4791,92 - Public Administration,PHOENIX,AZ,85007,1,0,1,0
"2,659",2025,STATE OF LOUISIANA DIVISION OF ADMINISTRATION,7520,92 - Public Administration,BATON ROUGE,LA,70806,1,0,0,0
2660,2025,STATE OF NEW HAMPSHIRE DEPARTMENT OF ADMINISTRATIVE SERVICES,618,92 - Public Administration,CONCORD,NH,3301,1,0,0,0
"2,661",2025,STATE OF VERMONT,274,92 - Public Administration,WATERBURY,VT,5671,1,0,0,0
2662,2025,STATE OF WASHINGTON SECRETARY OF STATE OFFICE OF SECRETARY OF STATE,1106,92 - Public Administration,OLYMPIA,WA,98504,1,0,0,0
"2,663",2025,STATE UNIVERSITY OF NEW YORK AT BU,3200,92 - Public Administration,ALBANY,NY,12229,1,0,0,0
2664,2025,STATE UNIVERSITY OF NEW YORK AT BUFFALO,3200,62 - Health Care and Social Assistance,BRONX,NY,10461,1,0,0,0
"2,665",2025,STATE UNIVERSITY OF NEW YORK AT BUFFALO,3200,92 - Public Administration,ALBANY,NY,12229,1,0,0,0
2666,2025,STATE UNIVERSITY OF NEW YORK AT BUFFALO,3200,92 - Public Administration,ALBANY,NY,12237,1,0,0,0
"2,667",2025,STC OPCO LLC D B A ST CHRISTOPHERS HOSPITAL FOR CHILDREN,4793,62 - Health Care and Social Assistance,WEST READING,PA,19611,1,0,0,0
2668,2025,STC PEDIATRICS LLC,1475,62 - Health Care and Social Assistance,WEST READING,PA,19611,1,0,0,0
"2,669",2025,STONE INSTITUTE AND NEWTON HOME FO,5896,62 - Health Care and Social Assistance,NEWTON UPPER FALLS,MA,2464,1,0,0,0
2670,2025,STONE OAK CHIROPRACTIC & WELLNESS LLC,4285,62 - Health Care and Social Assistance,SAN ANTONIO,TX,78259,1,0,0,0
"2,671",2025,STRAND PHYSICIAN SPECIALISTS P A,3173,62 - Health Care and Social Assistance,LITTLE RIVER,SC,29566,1,0,2,0
2672,2025,STREAM MONTESSORI SCHOOL LLC,4571,62 - Health Care and Social Assistance,WARREN,NJ,7059,1,0,0,0
"2,673",2025,STRIDES PSYCHOTHERAPY LCSW PLLC,876,62 - Health Care and Social Assistance,NEW YORK,NY,10011,1,0,0,0
2674,2025,STUART CARDIOLOGY GROUP,1827,62 - Health Care and Social Assistance,STUART,FL,39996,1,0,0,0
"2,675",2025,SUGAR RIVER FAMILY DENTAL PLLC,9612,62 - Health Care and Social Assistance,CLAREMONT,NH,3743,1,0,1,0
2676,2025,SUH DENTAL PLLC,2458,62 - Health Care and Social Assistance,YORKTOWN,VA,23693,1,0,0,0
"2,677",2025,SULLIVAN COUNTY ORAL HEALTH COLLAB,2886,62 - Health Care and Social Assistance,CLAREMONT,NH,3743,1,0,0,0
2678,2025,SUM OF LEARNING PLLC,6855,62 - Health Care and Social Assistance,BELLEVUE,WA,98005,1,0,0,0
"2,679",2025,SUMMA HEALTH SYSTEM,4755,62 - Health Care and Social Assistance,AKRON,OH,44304,1,0,0,0
2680,2025,SUMMA PHYSICIANS INIC,929,62 - Health Care and Social Assistance,AKRON,OH,44310,1,0,0,0
"2,681",2025,SUN RIVER HEALTH INC,8349,62 - Health Care and Social Assistance,PEEKSKILL,NY,10566,1,0,0,0
2682,2025,SUNNYSIDE PEDIATRICS LLC,4423,62 - Health Care and Social Assistance,GRIFFIN,GA,30223,1,0,0,0
"2,683",2025,SUNRISE AFTER CARE LLC,812,62 - Health Care and Social Assistance,CHELSEA,MA,2150,1,0,0,0
2684,2025,SUNSHINE BEHAVIORAL HEALTH SERVICES INC,3900,62 - Health Care and Social Assistance,BAKERSFIELD,CA,93309,1,0,0,0
"2,685",2025,SUNSHINE HOMECARE SERVICES CORP,5335,62 - Health Care and Social Assistance,NEW CITY,NY,10956,1,0,0,0
2686,2025,SURDEEP DENTAL GROUP OF FRESNO,3912,62 - Health Care and Social Assistance,KINGSBURG,CA,93631,1,0,0,0
"2,687",2025,SURDEEP SINGH DDS INC D B A CLOVIS FAMILY DENTISTRY,3489,62 - Health Care and Social Assistance,CLOVIS,CA,93611,1,0,0,0
2688,2025,SUTTER BAY HOSPITALS DBA SUTTER SANTA ROSA REGIONAL HOSPITAL,2680,62 - Health Care and Social Assistance,SACRAMENTO,CA,95833,1,0,1,0
"2,689",2025,SUTTER HEALTH DBA SUTTER HEALTH SYSTEM OFFICE,8907,62 - Health Care and Social Assistance,SACRAMENTO,CA,95833,1,0,5,0
2690,2025,SUTTER VALLEY HOSPITALS DBA MEMORIAL MEDICAL CENTER,6621,62 - Health Care and Social Assistance,SACRAMENTO,CA,95833,1,0,1,0
"2,691",2025,SWEDISH HEALTH SERVICES DBA SWEDISH MEDICAL GROUP,3120,62 - Health Care and Social Assistance,RENTON,WA,98057,1,1,0,0
2692,2025,SWEDISHAMERICANHOSPITAL D B A UW HEALTH,2696,62 - Health Care and Social Assistance,ROCKFORD,IL,61108,1,0,2,0
"2,693",2025,"SWISS MEDICAL NATUROPATHICS, INC.",3007,62 - Health Care and Social Assistance,SAN FRANCISCO,CA,94127,1,0,0,0
2694,2025,SYMMETRIA INTEGRATIVE MEDICAL P S,7098,62 - Health Care and Social Assistance,MARYSVILLE,WA,98270,1,0,0,0
"2,695",2025,SYNERGENX PHYSICIAN SERVICES,720,62 - Health Care and Social Assistance,HOUSTON,TX,77070,1,0,0,0
2696,2025,SYNERGY DENTAL SPA P A,4696,62 - Health Care and Social Assistance,TRINITY,FL,34655,1,0,0,0
"2,697",2025,SYNERGY HOSPITAL SERVICES LLC,7787,62 - Health Care and Social Assistance,PUNTA GORDA,FL,33950,1,0,0,0
2698,2025,SYRACUSE JEWISH FAMILY SERVICE INC,9102,62 - Health Care and Social Assistance,SYRACUSE,NY,13214,1,0,0,0
"2,699",2025,SYRINGA HOSPITAL DISTRICT DBA SYRINGA HOSPITAL AND CLINICS,6476,62 - Health Care and Social Assistance,GRANGEVILLE,ID,83530,1,0,1,0
2700,2025,TALLAHASSEE MEMORIAL HEALTHCARE INC,7016,62 - Health Care and Social Assistance,TALLAHASSEE,FL,32308,1,0,2,0
"2,701",2025,TAMPA BAY ANESTHESIOLOGY ASSOCIATES LLC,9207,62 - Health Care and Social Assistance,WESLEY CHAPEL,FL,33544,1,0,0,0
2702,2025,TAREEN DERMATOLOGY P A,7351,62 - Health Care and Social Assistance,ROSEVILLE,MN,55113,1,0,0,0
"2,703",2025,TEAM REHABILITATION SERVICES LLC,4132,62 - Health Care and Social Assistance,CLINTON TOWNSHIP,MI,48035,1,0,0,0
2704,2025,TEAMWORK SPEECH THERAPY INC,724,62 - Health Care and Social Assistance,PLEASANTON,CA,94566,1,0,0,0
"2,705",2025,TEMPLE UNIVERSITY HEALTH SYSTEM INC,5881,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19122,1,0,0,0
2706,2025,TENDER TOUCH REHAB SERVICES LLC,8616,62 - Health Care and Social Assistance,LAKEWOOD,NJ,8701,1,0,5,0
"2,707",2025,TENNESSEE DENTAL PROFESSIONALS PC,8100,62 - Health Care and Social Assistance,EFFINGHAM,IL,62401,1,0,0,0
2708,2025,TENNESSEE VALLEY HEALTHCARE SYSTEM,4828,62 - Health Care and Social Assistance,MURFREESBORO,TN,37129,1,0,0,0
"2,709",2025,TEXAS CHILDRENS HOSPITAL,555,62 - Health Care and Social Assistance,HOUSTON,TX,77030,1,0,4,0
2710,2025,TEXAS DEPARTMENT OF STATE HEALTH S,3643,92 - Public Administration,AUSTIN,TX,78751,1,0,0,0
"2,711",2025,TEXAS TREASURY SAFEKEEPING TRUST C,863,92 - Public Administration,AUSTIN,TX,78701,1,0,0,0
2712,2025,THE ARBOUR INC DBA ARBOUR HOSPITAL,8962,62 - Health Care and Social Assistance,BOSTON,MA,2130,1,0,0,0
"2,713",2025,THE BOARD OF COMMISSIONERS OF THE COUNTY OF ALLEN,124,92 - Public Administration,FORT WAYNE,IN,46802,1,0,0,0
2714,2025,THE CARDIOVASCULAR GROUP PC DBA VIRGINIA HEART,8418,62 - Health Care and Social Assistance,FALLS CHURCH,VA,22042,1,0,0,0
"2,715",2025,THE CENTER FOR AUTISM,8027,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19102,1,0,0,0
2716,2025,THE CHAMBERSBURG HOSPITAL OTHERWISE KNOWN AS WELLSPAN CHAMBERSBURG HO,5970,62 - Health Care and Social Assistance,YORK,PA,17405,1,0,0,0
"2,717",2025,THE CHILD CENTER OF NY INC,3454,62 - Health Care and Social Assistance,FOREST HILLS,NY,11375,1,0,0,0
2718,2025,THE CHILDRENS MEDICAL GROUP,5571,62 - Health Care and Social Assistance,POUGHKEEPSIE,NY,12603,1,0,0,0
"2,719",2025,THE CITY HOSPITAL ASSOCIATION LLC DBA EAST LIVERPOOL CITY HOSPITAL,4583,62 - Health Care and Social Assistance,ONTARIO,CA,91761,1,0,0,0
2720,2025,THE CITY OF DETROIT,4606,92 - Public Administration,DETROIT,MI,48226,1,0,1,0
"2,721",2025,THE COLUMBIA GROUP INC,1802,92 - Public Administration,FAIRFAX,VA,22030,1,0,0,0
2722,2025,THE DEVEREUX FOUNDATION,618,62 - Health Care and Social Assistance,LEAGUE CITY,TX,77573,1,0,0,0
"2,723",2025,THE DOCTORS CLINIC A PROFESSIONAL CORPORATION,8918,62 - Health Care and Social Assistance,SILVERDALE,WA,98383,1,0,0,0
2724,2025,"THE EDUCATIONAL ALLIANCE, INC",2210,62 - Health Care and Social Assistance,NEW YORK,NY,10002,1,0,0,0
"2,725",2025,THE FAMILY INSTITUTE AT NORTHWESTERN UNIVERSITY,2639,62 - Health Care and Social Assistance,EVANSTON,IL,60201,1,0,0,0
2726,2025,THE FEDCAP GROUP INC,5672,62 - Health Care and Social Assistance,NEW YORK,NY,10017,1,0,0,0
"2,727",2025,THE FOLECK CENTER,5747,62 - Health Care and Social Assistance,HAMPTON,VA,23666,1,0,0,0
2728,2025,THE FUTURE BEGINS HERE LLC D B A CENTO PRESCHOOL,5089,62 - Health Care and Social Assistance,DORAL,FL,33178,1,0,0,0
"2,729",2025,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,5288,62 - Health Care and Social Assistance,HUNTSVILLE,AL,35801,1,0,5,0
2730,2025,THE HOSPITAL AUTHORITY OF MILLER COUNTY,601,62 - Health Care and Social Assistance,COLQUITT,GA,39837,1,0,0,0
"2,731",2025,THE HOSPITAL OF CENTRAL CONNECTICUT,6768,62 - Health Care and Social Assistance,NEW BRITAIN,CT,6050,1,0,0,0
2732,2025,THE HURLEY CLINICS,1450,62 - Health Care and Social Assistance,FLINT,MI,48532,1,0,0,0
"2,733",2025,THE INSTITUTE FOR FAMILY HEALTH,3402,62 - Health Care and Social Assistance,NEW YORK,NY,10035,1,0,0,0
2734,2025,THE IOWA CLINIC P C,77,62 - Health Care and Social Assistance,WEST DES MOINES,IA,50266,1,0,0,0
"2,735",2025,THE JACKSON CLINIC P A,5660,62 - Health Care and Social Assistance,JACKSON,TN,38305,1,0,0,0
2736,2025,THE JOHNS HOPKINS HOSPITAL,1656,62 - Health Care and Social Assistance,BALTIMORE,MD,21205,1,0,0,0
"2,737",2025,THE JOHNS HOPKINS HOSPITAL,1656,62 - Health Care and Social Assistance,BALTIMORE,MD,21218,1,0,9,0
2738,2025,THE KOREAN-AMERICAN FAMILY SERVICE,9811,62 - Health Care and Social Assistance,FLUSHING,NY,11355,1,0,0,0
"2,739",2025,THE LAWRENCE MEMORIAL HOSPITAL,3703,62 - Health Care and Social Assistance,LAWRENCE,KS,66044,1,0,0,0
2740,2025,THE LELAND STANFORD JR UNIVERSITY,6365,62 - Health Care and Social Assistance,STANFORD,CA,94305,1,0,0,0
"2,741",2025,THE LITTLE BUTTERFLY LLC DBA WORLDSONG SCHOOLS WINTER HILL,9154,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,1,0,0,0
2742,2025,THE METHODIST HOME OF KENTUCKY,8375,62 - Health Care and Social Assistance,NICHOLASVILLE,KY,40356,1,0,0,0
"2,743",2025,THE METHODIST MEDICAL CENTER OF ILLINOIS,1223,62 - Health Care and Social Assistance,CHAMPAIGN,IL,61822,1,0,0,0
2744,2025,THE NEPHROLOGY GROUP INC,3758,62 - Health Care and Social Assistance,FRESNO,CA,93720,1,0,2,0
"2,745",2025,THE NEUROMEDICAL CENTER APMC,7144,62 - Health Care and Social Assistance,BATON ROUGE,LA,70810,1,0,0,0
2746,2025,THE NEW YORK AND PRESBYTERIAN HOSPITAL,7095,62 - Health Care and Social Assistance,NEW YORK,NY,10021,1,0,0,0
"2,747",2025,THE NEW YORK CLIMATE EXCHANGE INC,4115,92 - Public Administration,NEW YORK,NY,10004,1,0,0,0
2748,2025,THE ONE CAMPAIGN,3565,92 - Public Administration,WASHINGTON,DC,20004,1,0,0,0
"2,749",2025,THE PATHOLOGY LABORATORY INC,9679,62 - Health Care and Social Assistance,LAKE CHARLES,LA,70601,1,0,0,0
2750,2025,THE PERMANENTE MEDICAL GROUP INC,8480,62 - Health Care and Social Assistance,OAKLAND,CA,94612,1,0,0,0
"2,751",2025,THE POLYCLINIC PLLC,9070,62 - Health Care and Social Assistance,MINNETONKA,MN,55343,1,0,0,0
2752,2025,THE PRIMARY HEALTH NETWORK,1800,62 - Health Care and Social Assistance,SHARON,PA,16146,1,0,0,0
"2,753",2025,THE QUEENS MEDICAL CENTER,3524,62 - Health Care and Social Assistance,HONOLULU,HI,96813,1,0,1,0
2754,2025,THE ROBERT YOUNG CENTER FOR COMMUNITY MENTAL HEALTH,8909,62 - Health Care and Social Assistance,ROCK ISLAND,IL,61201,1,0,0,0
"2,755",2025,THE RURAL OUTREACH CENTER INC,7544,62 - Health Care and Social Assistance,EAST AURORA,NY,14052,1,0,0,0
2756,2025,THE RUTLAND HOSPITAL INC D B A RUT,3483,62 - Health Care and Social Assistance,RUTLAND,VT,5701,1,0,0,0
"2,757",2025,THE SMILE INSTITUTE PC,8192,62 - Health Care and Social Assistance,BROOKLINE,MA,2445,1,0,0,0
2758,2025,THE UNIVERSITY OF AKRON,2924,62 - Health Care and Social Assistance,AKRON,OH,44308,1,0,0,0
"2,759",2025,THE UNIVERSITY OF AKRON,2924,62 - Health Care and Social Assistance,AKRON,OH,44325,1,0,1,0
2760,2025,THE VILLAGE INSTITUTE,394,62 - Health Care and Social Assistance,AURORA,CO,80010,1,0,0,0
"2,761",2025,THE WECARE GROUP,7342,62 - Health Care and Social Assistance,SCOTIA,CA,95565,1,0,0,0
2762,2025,THEDACARE INC,9362,62 - Health Care and Social Assistance,NEENAH,WI,54956,1,0,1,0
"2,763",2025,THERAPEUTIC CONVERSATIONS,3163,62 - Health Care and Social Assistance,OGDEN,UT,84403,1,0,0,0
2764,2025,"THERAPEUTIC RESOURCES PHYSICAL OCCUP AND SPEECH THERAPY SERVICES, LLP.",1395,62 - Health Care and Social Assistance,NEW YORK,NY,10021,1,0,0,0
"2,765",2025,THERAPY AND COUNSELING SERVICES,8555,62 - Health Care and Social Assistance,CAMP HILL,PA,17011,1,0,0,0
2766,2025,THERAPY FOR KIDS INC DBA GALLAGHER,5982,62 - Health Care and Social Assistance,FULLERTON,CA,92832,1,0,0,0
"2,767",2025,THERAPYCARE PT SERVICES PLLC,8902,62 - Health Care and Social Assistance,YONKERS,NY,10704,1,0,0,0
2768,2025,THIRD WAY CENTER,9572,62 - Health Care and Social Assistance,DENVER,CO,80206,1,0,0,0
"2,769",2025,THOMAS JEFFERSON UNIVERSITY HOSPIT,9095,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19107,1,0,3,0
2770,2025,THOMPSON ONCOLOGY GROUP,9239,62 - Health Care and Social Assistance,KNOXVILLE,TN,37916,1,0,0,0
"2,771",2025,THOREK MEMORIAL HOSPITAL,85,62 - Health Care and Social Assistance,INDIANAPOLIS,IN,46278,1,0,0,0
2772,2025,THREE LOWER COUNTIES COMMUNITY SERVICES INC D B A CHESAPEAKE HEALTH C,379,62 - Health Care and Social Assistance,SALISBURY,MD,21804,1,0,0,0
"2,773",2025,THRIVE DENTAL P.C.,1075,62 - Health Care and Social Assistance,CHICAGO,IL,60601,1,0,0,0
2774,2025,THROUGH THE SEA MARRIAGE AND FAMILY COUNSELING INC.,3588,62 - Health Care and Social Assistance,WEST COVINA,CA,91791,1,0,0,0
"2,775",2025,THUNDERMIST HEALTH CENTER,,62 - Health Care and Social Assistance,WARWICK,RI,2886,1,0,0,0
2776,2025,THUNDERMIST HEALTH CENTER,5097,62 - Health Care and Social Assistance,WARWICK,RI,2886,1,0,0,0
"2,777",2025,TIA INC,4213,62 - Health Care and Social Assistance,SAN FRANCISCO,CA,94104,1,0,0,0
2778,2025,TIDALHEALTH INC,2761,62 - Health Care and Social Assistance,SALISBURY,MD,21801,1,0,0,0
"2,779",2025,TIDALHEALTH PENINSULA REGIONAL INC,1628,62 - Health Care and Social Assistance,SALISBURY,MD,21801,1,0,0,0
2780,2025,TIDALHEALTH PRIMARY CARE LLC,7090,62 - Health Care and Social Assistance,SALISBURY,MD,21801,1,0,0,0
"2,781",2025,TIGER CUB IMMERSION SCHOOL L.L.C.,6720,62 - Health Care and Social Assistance,UNION,NJ,7083,1,0,0,0
2782,2025,TNI KSO P C D B A NEPHROLOGY SPECIALISTS OF OKLAHOMA,8663,62 - Health Care and Social Assistance,TULSA,OK,74136,1,0,0,0
"2,783",2025,TOBY ONUBOGU FOUNDATION INC DBA SENSORY ISLAND,8889,62 - Health Care and Social Assistance,ISLIP,NY,11751,1,0,0,0
2784,2025,TOGETHER WOMENS HEALTH MEDICAL GROUP PC,4289,62 - Health Care and Social Assistance,GROSSE POINTE,MI,48230,1,0,0,0
"2,785",2025,TOMAH MEMORIAL HOSPITAL INC,9566,62 - Health Care and Social Assistance,TOMAH,WI,54660,1,0,1,0
2786,2025,TOMBIGBEE HEALTHCARE AUTHORITY,2343,62 - Health Care and Social Assistance,DEMOPOLIS,AL,36732,1,0,0,0
"2,787",2025,TOURO INFIRMARY,3659,62 - Health Care and Social Assistance,NEW ORLEANS,LA,70115,1,0,1,0
2788,2025,TOWER HEALTH MEDICAL GROUP,6054,62 - Health Care and Social Assistance,WEST READING,PA,19611,1,0,4,0
"2,789",2025,TOWN OF GUILDERLAND,2220,92 - Public Administration,GUILDERLAND,NY,12084,1,0,0,0
2790,2025,TRADITION MANAGEMENT LLC,1352,62 - Health Care and Social Assistance,DALLAS,TX,75209,1,0,0,0
"2,791",2025,TRADITIONS PSYCHIATRY GROUP PC DBA TRADITIONS BEHAVIORAL HEALTH,2037,62 - Health Care and Social Assistance,LARKSPUR,CA,94939,1,0,0,0
2792,2025,TRANSFORMATIONS COUNSELING GROUP LCSW PLLC,9331,62 - Health Care and Social Assistance,HAUPPAUGE,NY,11788,1,0,0,0
"2,793",2025,TREMKER SOLUTIONS LLC,5829,62 - Health Care and Social Assistance,BURTONSVILLE,MD,20866,1,0,0,0
2794,2025,TREVOR CHEN DDS INC D B A RELIANCE,9826,62 - Health Care and Social Assistance,SACRAMENTO,CA,95828,1,0,0,0
"2,795",2025,TREXLER FAMILY DENTAL GROUP LLC,2752,62 - Health Care and Social Assistance,TREXLERTOWN,PA,18087,1,0,0,0
2796,2025,TRI COUNTY HOSPITAL DISTRICT DBA LEXINGTON REGIONAL HEALTH CENTER,9692,62 - Health Care and Social Assistance,LEXINGTON,NE,68850,1,0,1,0
"2,797",2025,TRI-CITIES COMMUNITY HEALTH,8675,62 - Health Care and Social Assistance,PASCO,WA,99301,1,0,1,0
2798,2025,TRIBORO ADMINISTRATIVE SERVICES LLC D B A RENDR CARE PHYSICIANS,8921,62 - Health Care and Social Assistance,NEW YORK,NY,10001,1,0,0,0
"2,799",2025,TRIHEALTH H LLC,3974,62 - Health Care and Social Assistance,CINCINNATI,OH,45202,1,0,0,0
2800,2025,TRINITY CARE HOME INC,6937,62 - Health Care and Social Assistance,OLYMPIA,WA,98513,1,0,0,0
"2,801",2025,TRINITY HEALTH OF NEW ENGLAND PROVIDER NETWORK ORGANIZATION INC D B A,168,62 - Health Care and Social Assistance,HARTFORD,CT,6105,1,0,11,0
2802,2025,TRINITY MEDICAL CENTER D B A UNITYPOINT HEALTH - TRINITY,9299,62 - Health Care and Social Assistance,ROCK ISLAND,IL,61201,1,0,3,0
"2,803",2025,TRINITY WEST,5691,62 - Health Care and Social Assistance,STEUBENVILLE,OH,43952,1,0,2,0
2804,2025,TRISKA PSYCHOTHERAPY LCSW PLLC,7151,62 - Health Care and Social Assistance,NEW YORK,NY,10016,1,0,0,0
"2,805",2025,TRUDOC MEDICAL LLC,6282,62 - Health Care and Social Assistance,CLIFTON,NJ,7011,1,0,0,0
2806,2025,TRUMAN MEDICAL CENTER INC DBA UNIV,1018,62 - Health Care and Social Assistance,KANSAS CITY,MO,64108,1,0,0,0
"2,807",2025,TRUSTEES FOR HARVARD UNIVERSITY DBA DUMBARTON OAKS,9180,92 - Public Administration,WASHINGTON,DC,20007,1,0,1,0
2808,2025,TRUSTPOINT HOSPITAL LLC,135,62 - Health Care and Social Assistance,MURFREESBORO,TN,37129,1,0,0,0
"2,809",2025,TURNING POINT CHIROPRACTIC INC,1292,62 - Health Care and Social Assistance,AIEA,HI,96701,1,0,0,0
2810,2025,TURNING POINT CHIROPRACTIC INC,1292,62 - Health Care and Social Assistance,ALEA,HI,96701,1,0,0,0
"2,811",2025,TWO HEARTS HOME HEALTH LLC,1512,62 - Health Care and Social Assistance,ODESSA,TX,79761,1,0,0,0
2812,2025,TYLER FAMILY CIRCLE OF CARE,8435,62 - Health Care and Social Assistance,TYLER,TX,75711,1,0,0,0
"2,813",2025,UCI GROUP OF HOME HEALTH SERVICES,5121,62 - Health Care and Social Assistance,DELRAY BEACH,FL,33484,1,0,1,0
2814,2025,UDUAK SCIENTIFIC INC,7067,62 - Health Care and Social Assistance,BOWIE,MD,20716,1,2,0,0
"2,815",2025,UHS OF DOVER LLC D B A DOVER BEHAVIORAL HEALTH SYSTEM,3162,62 - Health Care and Social Assistance,DOVER,DE,19901,1,0,0,0
2816,2025,UKHS GREAT BEND LLC,6935,62 - Health Care and Social Assistance,GREAT BEND,KS,67530,1,0,0,0
"2,817",2025,UMASS MEMORIAL HEALTHALLIANCE-CLIN,3555,62 - Health Care and Social Assistance,MARLBOROUGH,MA,1752,1,0,0,0
2818,2025,UMPQUA COMMUNITY HEALTH CENTER INC,304,62 - Health Care and Social Assistance,ROSEBURG,OR,97470,1,0,0,0
"2,819",2025,UNICARE ADULT DAY HEALTH CARE INC,3009,62 - Health Care and Social Assistance,S EL MONTE,CA,91733,1,0,0,0
2820,2025,UNICARE HOME HEALTH SERVICE OF TYLER,4782,62 - Health Care and Social Assistance,TYLER,TX,75701,1,0,0,0
"2,821",2025,UNION ASSOCIATED PHYSICIANS CLINIC LLC,1401,62 - Health Care and Social Assistance,TERRE HAUTE,IN,47804,1,0,0,0
2822,2025,UNIQUE HEALTH CARE SOLUTIONS LLC,961,62 - Health Care and Social Assistance,MAUMEE,OH,43537,1,0,0,0
"2,823",2025,UNITED HEALTH AWARENESS FOUNDATION,1918,62 - Health Care and Social Assistance,ROSEMEAD,CA,91770,1,0,0,0
